Wall time,Step,Value
1715033381.202182,1495,4.1214399337768555
1715033388.9617274,1503,3.9772043228149414
1715033396.6781938,1511,3.9320054054260254
1715033399.5534782,1514,4.056920528411865
1715033402.468839,1517,4.064239978790283
1715033414.074154,1529,4.208677291870117
1715033433.4550838,1549,4.077695369720459
1715033436.3510199,1552,3.9831037521362305
1715033449.741374,1566,4.088578224182129
1715033453.740821,1569,4.005550384521484
1715033458.574202,1574,3.9755020141601562
1715033461.4700315,1577,4.069067001342773
1715033470.1558928,1586,4.074995517730713
1715033480.8307338,1597,4.181914806365967
1715033485.6480596,1602,3.98836088180542
1715033487.599572,1604,4.082345962524414
1715033510.8271933,1628,4.005005836486816
1715033518.5629408,1636,4.150044918060303
1715033520.4875026,1638,4.033016204833984
1715033552.3843784,1671,4.062528133392334
1715033561.0540447,1680,3.975472927093506
1715033566.8785272,1686,4.029086589813232
1715033575.5964236,1695,4.090188980102539
1715033583.3320053,1703,4.105271339416504
1715033585.2560868,1705,4.010342597961426
1715033588.1729884,1708,4.029382228851318
1715033592.0231013,1712,3.9501490592956543
1715033598.7857816,1719,4.013596534729004
1715033624.943019,1746,4.0469136238098145
1715033655.1791763,1776,4.028844356536865
1715033657.1231854,1778,3.9966983795166016
1715033668.7821102,1790,4.010796546936035
1715033671.683543,1793,3.9357807636260986
1715033679.4471815,1801,4.209531784057617
1715033725.0622659,1848,4.059611797332764
1715033728.933208,1852,4.0276570320129395
1715033737.65629,1861,4.032352447509766
1715033742.4979246,1866,4.077641487121582
1715033744.4294193,1868,4.037676811218262
1715033764.6495297,1889,3.877575159072876
1715033775.2999222,1900,4.093042850494385
1715033778.1978984,1903,4.027231216430664
1715033784.010195,1909,4.009052276611328
1715033784.9832163,1910,3.99513578414917
1715033799.4499266,1925,4.084061145782471
1715033811.023429,1937,3.9061849117279053
1715033814.9122798,1941,3.921478271484375
1715033819.7203882,1946,4.0025858879089355
1715033821.6452377,1948,3.9537062644958496
1715033834.9748647,1961,4.0506463050842285
1715033835.9638565,1962,4.029476165771484
1715033840.7711086,1967,4.173587799072266
1715033851.3850794,1978,4.03702449798584
1715033853.3105698,1980,4.0894341468811035
1715033861.08779,1988,3.965362310409546
1715033941.4428205,2071,3.941350221633911
1715033950.2032475,2080,4.107401371002197
1715033959.8967397,2090,3.96940016746521
1715033970.5381663,2101,4.027062892913818
1715033984.0643756,2115,3.935850143432617
1715033985.0366364,2116,4.053248405456543
1715033988.924761,2120,3.9949309825897217
1715033989.8970933,2121,4.185402870178223
1715033996.7012436,2128,3.9469823837280273
1715034008.3266919,2140,4.0353899002075195
1715034038.5430775,2170,4.007009029388428
1715034062.7129617,2195,3.9465160369873047
1715034077.227764,2210,3.9447007179260254
1715034083.0701632,2216,4.00405216217041
1715034106.3312438,2240,4.079994201660156
1715034111.1917176,2245,3.988168478012085
1715034146.938612,2282,4.043086051940918
1715034180.8332746,2317,4.028868675231934
1715034183.7443035,2320,4.2148542404174805
1715034205.9681659,2343,4.0641398429870605
1715034223.0937474,2360,4.034721851348877
1715034252.213209,2390,3.9631526470184326
1715034256.1032348,2394,3.938028335571289
1715034257.0751662,2395,3.975855588912964
1715034297.7606668,2437,4.0200958251953125
1715034302.6043859,2442,4.054635047912598
1715034315.1652524,2455,4.021173000335693
1715034322.9306483,2463,4.038963794708252
1715034325.8279376,2466,4.029226303100586
1715034345.202263,2486,4.0143938064575195
1715034352.9309075,2494,4.021780490875244
1715034357.7622707,2499,4.003566265106201
1715034362.5626829,2504,4.001545429229736
1715034376.1613517,2518,4.047679901123047
1715034378.1055048,2520,4.065456390380859
1715034386.765497,2529,4.0204010009765625
1715034388.7098632,2531,4.0059919357299805
1715034424.3655093,2567,3.9751360416412354
1715034435.003243,2578,3.854153871536255
1715034435.9755309,2579,4.028502464294434
1715034445.687927,2589,4.008615493774414
1715034456.26577,2600,3.9668402671813965
1715034463.0708575,2607,3.9624452590942383
1715034475.6028216,2620,4.047139644622803
1715034483.3697026,2628,3.986078977584839
1715034484.3415728,2629,4.047453880310059
1715034491.1523767,2636,3.8705554008483887
1715034495.043955,2640,4.028429985046387
1715034498.8973134,2644,3.9338314533233643
1715034517.3100462,2663,4.073565483093262
1715034525.0502982,2671,3.929664134979248
1715034526.02294,2672,3.982686758041382
1715034528.9022636,2675,3.8772149085998535
1715034535.6923053,2682,3.929778575897217
1715034538.6041412,2685,4.016469478607178
1715034540.5306075,2687,3.968076467514038
1715034543.458748,2690,3.9721081256866455
1715034547.3292077,2694,4.013415813446045
1715034556.0350556,2703,4.125631332397461
1715034561.8811328,2709,3.9479196071624756
1715034566.707007,2714,4.057172775268555
1715034570.5207608,2718,4.070728302001953
1715034582.074301,2730,3.9648609161376953
1715034583.0471566,2731,3.989696979522705
1715034586.9006226,2735,4.002777099609375
1715034591.6647427,2740,4.009703636169434
1715034592.6175108,2741,4.064662456512451
1715034606.0278823,2754,4.004113674163818
1715034606.9806094,2755,3.8636953830718994
1715034607.9605842,2756,4.036093711853027
1715034612.822689,2761,4.009932994842529
1715034617.6876616,2766,3.960576295852661
1715034620.566063,2769,4.0321125984191895
1715034630.3022366,2779,4.04926872253418
1715034637.1206372,2786,3.947389602661133
1715034663.2654316,2813,4.046835422515869
1715034684.55419,2835,4.132706165313721
1715034694.2665899,2845,3.991246461868286
1715034710.7172332,2862,4.0054030418396
1715034711.6895516,2863,4.0192484855651855
1715034730.0977178,2882,4.065108776092529
1715034765.8935556,2919,3.9563961029052734
1715034768.7863674,2922,4.04619836807251
1715034781.3401065,2935,3.993480682373047
1715034799.5389342,2953,4.1456146240234375
1715034802.436791,2956,4.000257968902588
1715034809.2442515,2963,4.014963150024414
1715034812.162554,2966,3.9631640911102295
1715034819.9495468,2974,3.9752790927886963
1715034832.4826698,2987,3.9340054988861084
1715034842.2070987,2997,3.9777543544769287
1715034864.5091467,3020,3.945833206176758
1715034878.996282,3035,4.039027690887451
1715034891.5615716,3048,3.8601460456848145
1715034926.5215259,3084,3.9743294715881348
1715034927.4946785,3085,3.9543423652648926
1715034945.919617,3104,4.000907897949219
1715034946.8985162,3105,4.038656234741211
1715034947.8709679,3106,4.086372375488281
1715034957.588174,3116,4.153077125549316
1715034961.4595766,3120,3.984137773513794
1715034962.412729,3121,3.967787504196167
1715034963.3846605,3122,3.9427154064178467
1715034968.2584956,3127,3.939812421798706
1715034970.165832,3129,4.014761924743652
1715034987.2676313,3146,3.8955135345458984
1715035014.3617005,3174,3.997490406036377
1715035019.203773,3179,4.025181293487549
1715035032.7531235,3193,3.8470215797424316
1715035039.5266144,3200,4.078756809234619
1715035044.3688977,3205,4.041157245635986
1715035056.9120917,3218,3.986466884613037
1715035059.819528,3221,4.0019307136535645
1715035061.761542,3223,3.9650745391845703
1715035068.5587006,3230,3.909501552581787
1715035080.1888068,3242,4.062855243682861
1715035103.5054965,3266,3.9946863651275635
1715035106.4215515,3269,4.129443168640137
1715035143.2362788,3307,3.990785837173462
1715035176.877834,3341,4.007157325744629
1715035192.393736,3357,3.9880974292755127
1715035209.8624263,3375,3.9536521434783936
1715035214.6882007,3380,3.9388365745544434
1715035219.5490813,3385,3.9331350326538086
1715035220.5222147,3386,3.964057683944702
1715035228.302796,3394,4.053666591644287
1715035238.9994612,3405,4.05195951461792
1715035252.58574,3419,4.122127056121826
1715035260.3659942,3427,4.0416951179504395
1715035268.0916147,3435,4.035594463348389
1715035272.9642735,3440,4.027619361877441
1715035294.2937913,3462,4.033993244171143
1715035301.0431294,3469,3.992589235305786
1715035315.602606,3484,3.861133337020874
1715035316.5746121,3485,3.9440183639526367
1715035317.5477912,3486,4.006793022155762
1715035323.3059871,3492,3.934346914291382
1715035325.2306373,3494,3.9447617530822754
1715035332.0185518,3501,3.9883344173431396
1715035357.0697112,3527,3.9356002807617188
1715035375.2917616,3545,4.011395454406738
1715035381.1224554,3551,4.050433158874512
1715035396.6606982,3567,3.859781265258789
1715035399.5577688,3570,3.9747767448425293
1715035406.3463445,3577,3.9762790203094482
1715035418.00996,3589,4.026562690734863
1715035429.632737,3601,3.960348606109619
1715035442.224667,3614,3.974310874938965
1715035443.1970851,3615,4.1046881675720215
1715035445.1222613,3617,3.9590158462524414
1715035458.7068427,3631,3.9069480895996094
1715035482.0099585,3655,4.077199459075928
1715035484.9100094,3658,3.9628944396972656
1715035486.833556,3660,3.9245822429656982
1715035488.7717283,3662,4.041691303253174
1715035491.665501,3665,4.076257228851318
1715035495.4966524,3669,4.016078472137451
1715035498.393934,3672,3.948521614074707
1715035516.7886066,3691,4.07349967956543
1715035526.470478,3701,3.8860926628112793
1715035538.0899074,3713,4.141158103942871
1715035542.8755057,3718,3.9731545448303223
1715035570.8034282,3746,4.083065032958984
1715035571.7561154,3747,4.11006498336792
1715035573.700734,3749,3.897388219833374
1715035578.5615947,3754,3.890014886856079
1715035579.5342178,3755,4.033240795135498
1715035586.3386786,3762,4.0006208419799805
1715035588.2825823,3764,3.977644920349121
1715035606.675577,3783,3.948281764984131
1715035607.6287022,3784,3.938802719116211
1715035611.516574,3788,3.8706657886505127
1715035614.4327986,3791,3.9781792163848877
1715035636.7115617,3814,3.858264446258545
1715035646.42819,3824,3.8912765979766846
1715035670.632438,3849,3.9489493370056152
1715035672.5580127,3851,3.979656219482422
1715035682.2600825,3861,3.8910105228424072
1715035690.9953163,3870,3.980281114578247
1715035722.98646,3903,3.9381446838378906
1715035731.698923,3912,3.972613573074341
1715035735.5077202,3916,3.895223617553711
1715035742.5447776,3922,3.869378089904785
1715035754.161808,3934,3.956474542617798
1715035757.0864744,3937,4.002452373504639
1715035773.555742,3954,4.010629177093506
1715035777.4361398,3958,3.9449684619903564
1715035786.1951692,3967,3.8917715549468994
1715035794.9254785,3976,4.004391193389893
1715035800.7154763,3982,4.024729251861572
1715035830.7064912,4013,3.9341254234313965
1715035832.6472585,4015,3.949422836303711
1715035841.3227265,4024,4.14254903793335
1715035852.0016105,4035,4.050445556640625
1715035857.7976856,4041,4.037320613861084
1715035864.5727324,4048,4.036032676696777
1715035900.429307,4085,4.052770614624023
1715035924.5773463,4110,3.999119520187378
1715035929.6611934,4116,3.8875510692596436
1715035936.8845444,4122,3.9421119689941406
1715035939.788492,4125,3.985867738723755
1715035961.1144896,4147,3.979482412338257
1715035970.8215864,4157,4.050356864929199
1715035995.065333,4182,3.9199612140655518
1715036005.7164812,4193,4.033215522766113
1715036020.2525022,4208,4.064067840576172
1715036033.851383,4222,3.9703798294067383
1715036039.6648576,4228,3.930983066558838
1715036058.0393147,4247,3.942875623703003
1715036060.9555519,4250,4.037435531616211
1715036063.8719022,4253,3.9432225227355957
1715036068.7139053,4258,3.9213860034942627
1715036091.8858664,4282,4.056085586547852
1715036128.4086163,4319,3.957808494567871
1715036133.2231894,4324,3.948725461959839
1715036138.0755699,4329,3.9880030155181885
1715036143.8899007,4335,3.8303048610687256
1715036184.5536857,4377,3.81838321685791
1715036187.4507391,4380,4.08104944229126
1715036203.000774,4396,4.049865245819092
1715036210.7388635,4404,4.116626739501953
1715036214.5696437,4408,3.9971108436584473
1715036229.1018047,4423,3.8799848556518555
1715036231.0490854,4425,3.9221675395965576
1715036241.7074845,4436,3.8529953956604004
1715036249.4369748,4444,3.999401807785034
1715036260.0959013,4455,3.8720858097076416
1715036271.6906867,4467,3.951690673828125
1715036293.9728568,4490,3.9273226261138916
1715036299.788694,4496,3.9729840755462646
